"",trial,block,last_reward_time,reward_time,next_reward_time,time_in_port,IRI_prior,IRI_post,recent_reward_rate,recent_reward_rate_exp,local_reward_rate_1sec,DA_amp
0,1.0,0.4,36.254971,41.357072,41.657184,0.700838,5.102101,0.300112,0.133333,0.000000,0.0,0.524365
1,1.0,0.4,41.357072,41.657184,42.157328,1.000949,0.300112,0.500144,0.166667,0.033333,1.0,5.435348
2,1.0,0.4,41.657184,42.157328,42.957523,1.501094,0.500144,0.800195,0.200000,0.066667,2.0,4.669673
3,1.0,0.4,42.157328,42.957523,46.558574,2.301289,0.800195,3.601051,0.233333,0.100000,1.0,0.684717
4,1.0,0.4,42.957523,46.558574,47.558817,5.902340,3.601051,1.000242,0.266667,0.133333,0.0,6.054381
5,1.0,0.4,46.558574,47.558817,48.259033,6.902583,1.000242,0.700216,0.300000,0.166667,0.0,4.589558
6,1.0,0.4,47.558817,48.259033,48.359040,7.602799,0.700216,0.100007,0.333333,0.200000,1.0,4.285155
7,1.0,0.4,48.259033,48.359040,49.259556,7.702806,0.100007,0.900516,0.366667,0.233333,2.0,4.285155
8,1.0,0.4,48.359040,49.259556,50.659595,8.603322,0.900516,1.400039,0.400000,0.266667,1.0,4.420519
9,1.0,0.4,49.259556,50.659595,53.760534,10.003361,1.400039,3.100940,0.433333,0.300000,0.0,6.164521
10,1.0,0.4,50.659595,53.760534,NaN,13.104300,3.100940,NaN,0.466667,0.333333,0.0,4.889071
11,2.0,0.4,69.526191,71.878343,72.678547,0.501089,2.352152,0.800204,0.433333,0.300000,0.0,3.823073
12,2.0,0.4,71.878343,72.678547,75.479386,1.301293,0.800204,2.800839,0.433333,0.300000,1.0,3.485908
13,2.0,0.4,72.678547,75.479386,75.979448,4.102132,2.800839,0.500062,0.433333,0.300000,0.0,4.595615
14,2.0,0.4,75.479386,75.979448,NaN,4.602194,0.500062,NaN,0.466667,0.333333,1.0,3.763240
15,3.0,0.4,94.464563,100.586726,101.186911,4.902045,6.122163,0.600184,0.266667,0.133333,0.0,6.069584
16,3.0,0.4,100.586726,101.186911,NaN,5.502229,0.600184,NaN,0.300000,0.166667,1.0,2.274740
17,4.0,0.4,119.324017,121.340137,121.540158,0.700878,2.016120,0.200022,0.266667,0.066667,0.0,4.522311
18,4.0,0.4,121.340137,121.540158,121.740185,0.900900,0.200022,0.200026,0.266667,0.100000,1.0,4.409231
19,4.0,0.4,121.540158,121.740185,121.940283,1.100926,0.200026,0.200098,0.300000,0.133333,2.0,3.140053
20,4.0,0.4,121.740185,121.940283,123.340647,1.301025,0.200098,1.400363,0.333333,0.166667,3.0,1.329354
21,4.0,0.4,121.940283,123.340647,127.541851,2.701388,1.400363,4.201205,0.366667,0.200000,0.0,4.838638
22,4.0,0.4,123.340647,127.541851,131.042773,6.902593,4.201205,3.500922,0.366667,0.233333,0.0,5.776998
23,4.0,0.4,127.541851,131.042773,NaN,10.403515,3.500922,NaN,0.366667,0.233333,0.0,5.743801
24,5.0,0.4,145.980325,147.945127,150.645875,0.800846,1.964803,2.700747,0.400000,0.233333,0.0,3.798862
25,5.0,0.4,147.945127,150.645875,150.945976,3.501593,2.700747,0.300102,0.400000,0.266667,0.0,4.242461
26,5.0,0.4,150.645875,150.945976,NaN,3.801695,0.300102,NaN,0.433333,0.300000,1.0,2.717804
27,6.0,0.4,172.713452,178.697896,181.398599,0.201069,5.984445,2.700703,0.200000,0.066667,0.0,2.759456
28,6.0,0.4,178.697896,181.398599,182.899097,2.901772,2.700703,1.500498,0.166667,0.033333,0.0,4.129777
29,6.0,0.4,181.398599,182.899097,183.599249,4.402270,1.500498,0.700152,0.200000,0.066667,0.0,2.825375
30,6.0,0.4,182.899097,183.599249,183.899396,5.102422,0.700152,0.300147,0.233333,0.100000,1.0,3.878769
31,6.0,0.4,183.599249,183.899396,183.999392,5.402569,0.300147,0.099996,0.266667,0.133333,1.0,2.110525
32,6.0,0.4,183.899396,183.999392,185.399676,5.502565,0.099996,1.400285,0.300000,0.166667,2.0,2.129962
33,6.0,0.4,183.999392,185.399676,187.900398,6.902850,1.400285,2.500722,0.333333,0.200000,0.0,4.732897
34,6.0,0.4,185.399676,187.900398,NaN,9.403572,2.500722,NaN,0.366667,0.233333,0.0,4.544580
35,7.0,0.4,204.441822,205.704234,206.804378,0.200853,1.262411,1.100145,0.400000,0.266667,0.0,1.275789
36,7.0,0.4,205.704234,206.804378,208.404798,1.300998,1.100145,1.600420,0.433333,0.300000,0.0,5.844062
37,7.0,0.4,206.804378,208.404798,208.604858,2.901418,1.600420,0.200059,0.466667,0.333333,0.0,3.255685
38,7.0,0.4,208.404798,208.604858,213.906354,3.101477,0.200059,5.301496,0.500000,0.366667,1.0,4.389000
39,7.0,0.4,208.604858,213.906354,216.707119,8.402973,5.301496,2.800765,0.366667,0.233333,0.0,5.759570
40,7.0,0.4,213.906354,216.707119,NaN,11.203738,2.800765,NaN,0.333333,0.200000,0.0,5.370249
41,8.0,0.8,226.315184,231.963914,237.765964,2.901366,5.648731,5.802050,0.366667,0.200000,0.0,4.873784
42,8.0,0.8,231.963914,237.765964,239.166203,8.703416,5.802050,1.400239,0.300000,0.166667,0.0,3.190019
43,8.0,0.8,237.765964,239.166203,NaN,10.103655,1.400239,NaN,0.266667,0.133333,0.0,4.664055
44,9.0,0.8,247.394395,250.487890,250.888018,1.658639,3.093495,0.400127,0.366667,0.100000,0.0,3.821502
45,9.0,0.8,250.487890,250.888018,251.288129,2.058766,0.400127,0.400111,0.400000,0.133333,1.0,3.422379
46,9.0,0.8,250.888018,251.288129,252.088367,2.458877,0.400111,0.800238,0.433333,0.166667,2.0,2.061953
47,9.0,0.8,251.288129,252.088367,252.688551,3.259115,0.800238,0.600183,0.466667,0.200000,1.0,3.489477
48,9.0,0.8,252.088367,252.688551,257.990002,3.859299,0.600183,5.301451,0.466667,0.233333,1.0,4.356193
49,9.0,0.8,252.688551,257.990002,259.890554,9.160750,5.301451,1.900552,0.400000,0.266667,0.0,3.411091
